City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,Nome,US,66.99,broken clouds,64.5,-165.41,Dredge 7 Inn
312,Kelamangalam,IN,69.8,broken clouds,12.6,77.85,DHARMA
315,Qui Nhon,VN,79.72,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
323,Bereda,ES,66.99,clear sky,43.27,-7.54,Pazo de Verdes
324,Kununurra,AU,75.2,clear sky,-15.77,128.73,Hotel Kununurra
328,Kieta,PG,78.49,scattered clouds,-6.22,155.63,
334,Valladolid,ES,78.01,clear sky,41.58,-4.67,Hotel Ruta del Duero
335,Lamu,KE,78.48,broken clouds,-2.27,40.9,Lamu House
337,Nabire,ID,75.02,few clouds,-3.37,135.48,Hotel Nusantara Nabire
338,Prabumulih,ID,73.9,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
344,Piacabucu,BR,76.03,clear sky,-10.41,-36.43,Piaçabuçu News
345,Harper,LR,76.77,overcast clouds,4.38,-7.72,Cape View Guest House
349,Tiszaszentimre,HU,68.0,broken clouds,47.48,20.73,Sziveshaz
360,Kutum,SD,78.15,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
362,Naze,JP,75.2,light rain,28.37,129.48,奄美ポートタワーホテル
364,Lagoa,PT,66.13,clear sky,39.05,-27.98,Casa Das Faias
366,Ikwiriri,TZ,71.15,clear sky,-7.96,38.97,Selous Lodge
368,Siderno,IT,73.0,clear sky,38.28,16.3,Grand Hotel President
369,Labuhan,ID,77.59,overcast clouds,-6.88,112.21,bador sepret
371,Bowen,AU,66.99,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
372,Carlsbad,US,75.0,haze,33.16,-117.35,Carlsbad Inn Beach Resort
375,Beloha,MG,66.96,overcast clouds,-25.17,45.05,
378,Abha,SA,73.4,overcast clouds,18.22,42.51,Abha Hotel
379,Ponta Delgada,PT,68.0,broken clouds,37.73,-25.67,Vila Nova Hotel
381,Renqiu,CN,78.53,overcast clouds,38.7,116.09,City Garden Renqiu Meishicheng Store
382,Kui Buri,TH,79.14,scattered clouds,12.08,99.85,ริสต้า รีสอร์ท
383,Villarrica,PY,78.37,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
386,Jiblah,YE,69.76,few clouds,13.92,44.15,Tiger Tower Hotel
389,Cabedelo,BR,77.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
391,Kashi,CN,73.4,clear sky,39.45,75.98,帕米尔青年旅舍
400,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
401,Asfi,MA,72.18,clear sky,32.3,-9.24,Hôtel Abda
405,Bilibino,RU,75.7,clear sky,68.05,166.44,Gostinitsa Severyanka
407,Panalingaan,PH,79.84,broken clouds,8.78,117.42,
411,Pitimbu,BR,77.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
413,Pangkalanbuun,ID,73.47,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
